id,title,composer,style,key,transpose,groove,bpm,repeats
9edd8326-fc65-406b-8a6a-9b1d03a7d6b9,#Etude #1,Lennie Niehaus - Developing Jazz ConceptsC7,Medium Swing,C,3,,140,0
dd769570-77b6-4139-8ba2-3d28712883bb,#Etude #2,Lennie Niehaus - Developing Jazz ConcepysC,Medium Swing,C,3,,131,0
8ee11d2b-e6b7-4b95-a38a-40fa5f0b293d,#Etude #3,Lennie Niehaus - Developing Jazz ConceptsA-7,Medium Swing,C,3,,121,0
3a438721-6f8c-4b5f-9a07-fe51efe66aa8,#Etude #4,Lennie Niehaus - Developing Jazz Concepts,Medium Swing,C,3,,130,0
4b5db2fd-8576-4451-9e34-406ac8273b64,#Etude #5,Lennie Niehaus - Developing Jazz Concepts,Medium Swing,C,3,,117,0
3c8bbff4-8b07-4c3e-812d-1620cea3a494,#Etude #6,Lennie Niehaus - Developing Jazz Concepts,Medium Swing,C,10,,130,0
56eb7693-d43c-4028-8289-7ce85c06530f,#Etude #7,Lennie Niehaus - Developing Jazz Concepts,Medium Swing,C,3,,120,0
bdc6f881-b3a6-47ad-b3ba-0d0f27ab2fd8,#Etude #8,Lennie Niehaus -  Developing Jazz Concepts,Medium Swing,C,3,Jazz-Medium Swing,128,0
a6cab04a-5b99-4937-b4bb-79c00036d072,#Etude #9,Lennie Niehaus - Developing Jazz Conceots,Medium Swing,C,10,,110,0
740bf866-72ad-487c-aad6-64f4540c705b,#Etude #1,Lennie Niehaus - Developing Jazz ConceptsC7,Medium Swing,C,3,,168,0
df97f6e1-5713-4552-91e8-047a7eb1fedb,#01 II-V-I Descending Whole Steps (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,180,3
eed39051-31a2-4b0f-af9e-2d7abdcf35df,#02 II-V-I Descending Whole Steps (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,180,3
f7e59e46-a31e-41f5-a6d1-7c031fc4fa53,#13 II-V-I Minor Descending W Steps (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,180,3
0a6df45a-42b0-4ab4-aa45-85362f8fcb37,#14 II-V-I Minor Descending W Steps (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,180,3
b6abdc0b-0aeb-488d-81f5-af0435a43d86,#25 Dominant Cycle (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,184,3
032d16f0-6cee-49ce-8440-1f2989a5326a,#26 Dominant Cycle (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,184,3
4981ae70-d1c1-4e5b-821f-6eb1d1d20487,#27 Major Cycle (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,184,3
d0003b20-b93f-4aaa-9c1c-aadbdf774698,#28 Major Cycle (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,184,3
b1757972-0be5-4f68-975e-7ba2b0bacc46,Major I-VI-II-V Turnarounds Around the Cycle,Exercise,Medium Swing,C,0,Jazz-Medium Up Swing,184,3
a0dfc61e-450d-4c3f-8c2d-a667cf94544b,Minor I-VI-II-V Turnarounds Around the Cycle,Exercise,Medium Swing,A-,0,Jazz-Medium Up Swing,190,3
d6ff3714-ffc8-4df3-ba16-d38d787809de,Major I-IIIo-II-V Turnarounds Around the Cycle,Exercise,Medium Swing,C,0,Jazz-Medium Up Swing,184,3
19b4a37c-c9f4-477e-b1ee-bd46431869c7,#29 Diminished-Tritone Sub,Phil DeGreg - Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Up Swing,120,3
4adf302b-2c90-44ea-b5e5-4a82ed8650bd,#03 II-V Descending Whole Steps (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,147,3
33e4c61b-f091-4a94-85e5-a32b1c047d6e,#04 II-V Descending Whole Steps (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,124,3
b92275f5-953e-49bb-b60b-dbbb8762cf32,#05 II-V-I Around Key Circle,Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,100,3
65daf0d1-762c-455f-80ad-2ac90c8a5caf,#06 II-V-I Descending Half Steps (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Latin-Brazil: Bossa Acoustic,140,3
f746527f-55e4-431b-98b6-bda3bc30f878,#07 II-V-I Descending Half Steps (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Latin-Brazil: Bossa Acoustic,140,3
4a0638df-b962-4791-9d5e-7a4418e1ef08,#08 II-V Descending Half Steps (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,100,3
56073a3d-e6a4-46e2-866a-8c20b24f4c5f,#09 II-V Descending Half Steps (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,100,3
ae4c60ce-fed9-4b8a-9dd5-25628f4631e2,#10 II-V-I Ascending Minor 3rds (off 7th),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Latin-Brazil: Bossa Acoustic,140,3
9202593c-37d4-4e4f-a963-9a467748a540,#11 II-V-I Ascending Minor 3rds (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Latin-Brazil: Bossa Acoustic,140,3
fe92c2bd-2b00-4aad-9492-00d7ed0bffb7,#19 Minor II-V-I Descending H Steps (off 3rd),Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,120,3
892fa70b-dd51-4936-99c2-c491bd8bc0bf,#12 II-V-I Random Keys,Exercise - Phil DeGreg Jazz Keybd Harmony,Medium Swing,C,0,Jazz-Medium Swing,124,3
